Id	English	Japanese	Level
1	based on; from	をもとに	N2
2	depending on	いかんでは/いかんによっては	N1
3	as; due to; with; along with; following	に伴って	N2
4	want to	たがる	N4
5	more and more, continue to	一方だ	N3
6	since; because	ことだし	N1
7	approximately; about	というところだ/といったところだ	N1
8	truly; really; as if	さも	N1
9	or	なり～なり	N1
10	to do something (honorific)	お～になる	N4
11	having said that; be that as it may	とはいうものの	N1
12	to do something to the end; competely, extremely	抜く	N2
13	such as, things like, the likes of	など	N4
14	by means of; with	をもって	N1
15	even	だに	N1
16	although; in spite of; even though	のに	N4
17	must be; is definitely	でなくてなんだろう	N1
18	is okay, is alright to, can, may	てもいい	N5
19	in defiance of	をものともせず	N1
20	not only… but also, as well as	ばかりでなく	N3
21	like; as if; the same as	ごとき/ごとく	N1
22	along with; in accordance with	に沿って	N2
23	as a good opportunity to; as a result of	を契機に	N2
24	though; even if; whether… or	にしろ / にせよ	N2
25	if… then; after; when	たら	N4
26	style; manner	ぶり	N1
27	even if one tries to do something, it can’t be done	(よ)うにも～ない	N1
28	can do nothing but; there’s only	ただ～のみだ	N1
29	it’s not necessary to	までもない	N1
30	once something occurs, something else happens	が最後	N1
31	thanks to, because of	おかげで	N3
32	from one’s perspective; from the point of view of	にしたら	N2
33	the most … of all	きっての	N1
34	there is no way to; it’s impossible to	ようがない/ようもない	N2
35	I need you to…	てほしい	N4
36	have no choice but	しかない	N3
37	even if; no matter	とも	N2
38	plan to, intend to	よていだ	N4
39	only	までだ	N1
40	impossible; unlikely	そうにもない	N1
41	slightly	わずかに	N2
42	to become	なる	N5
43	must; will definitely	ないではすまない/ずにはすまない	N1
44	the moment (something happens)	た瞬間に	N1
45	already; long ago	とっくに	N2
46	can…; it’s okay if…	ても差し支えない	N1
47	how; how much	いかに	N1
48	aside from; apart from; except for; whether or not	は別として	N2
49	precisely because	からこそ	N2
50	suitable for	向き	N3
51	to exist, there is/are	がいる	N5
52	only	くらいのものだ	N1
53	before, in front of	まえに	N5
54	as much as possible	なるべく	N1
55	after doing something, since	てから	N5
56	do such things like	たり～たり	N4
57	there’s a possibility that	可能性がある	N1
58	leaving (something) on, leaving (something) still in use	っぱなし	N3
59	in order to; for	には	N2
60	as one would expect; even	さすが	N4
61	continue to (similar to 一方だ)	ばかりだ	N3
62	to look; to seem; to appear	にみえる	N4
63	end up; in the end	始末だ	N1
64	you could say; you might say	といってもいい	N4
65	unable to; cannot	えない	N2
66	let alone; not to mention; needless to say	はおろか	N1
67	to the extent that, so much… that; the more	ほど	N3
68	after; later	あとで	N4
69	may not, must not	てはいけない	N5
70	-like; sort of; similar to; resembling	みたい	N4
71	but, although, despite	ながらも	N3
72	each; every; at intervals of	ごとに	N2
73	against; contrary to; in contrast to	に反して	N2
74	when	とき	N4
75	unless you do something	ないことには～ない	N2
76	please do; could you please…; I ask of you to	お～願う	N2
77	to get somebody to do something	てもらう	N4
78	or something	か何か	N2
79	because of	せいで	N3
80	need, it is necessary to	ひつようがある	N4
81	it doesn’t end with just…	ではすまない	N1
82	(I’m not sure if it’s) A or B	というか～というか	N1
83	I heard…	ときいた	N4
84	in; on	中を	N2
85	together with; along with	と相まって	N1
86	was just about to do something	ところだった	N2
87	before; prior to	に先立ち	N2
88	extremely; exceedingly	極めて	N1
89	each time, every time, whenever (something happens), on the occasion of	たびに	N3
90	depending on the situation	場合によっては	N1
91	if; in case; if it is the case that; as for	なら	N4
92	not until, only after… did I	てはじめて	N3
93	I’ve heard that…; rumour has it that…; it appears as if…	ということだ	N3
94	always; never stop; can’t help but	てやまない	N1
95	nothing but; none other than	にほかならない	N2
96	dare to; daringly; deliberately	あえて	N1
97	the moment that; no sooner than; as soon as	や否や	N1
98	merely; nothing but; no more than	でしかない	N2
99	to do all that one can	だけは	N2
100	must do, should do	べき	N3
101	unless something is done, something else can’t occur	てからでないと	N2
102	than	より	N4
103	can’t; cannot possibly be	べくもない	N1
104	now that/since (something has happened)	てこそ	N2
105	indicates two contrasting actions	つ～つ	N1
106	as well; besides; in addition to; not only… but also	上に	N2
107	to love / to like doing something	のがすき	N5
108	(please) try to, (please) look	てごらん	N3
109	to give something a try	ひとつ	N1
110	while (doing); in addition to; at the same time	かたわら	N1
111	even; even if	にしたって	N1
112	both… and …; everytime something happens	につけ	N2
113	as much as; as many as	からある	N1
114	in contrast to	にひきかえ	N1
115	or; or else	それとも	N2
116	more than; not less than	以上に	N2
117	might; maybe; probably	かもしれない	N4
118	and yet; despite this; but even so	それなのに	N2
119	the point is…; in short…; to put it simply	要するに	N2
120	no matter how	どんなに～ても	N3
121	to be enough; to be worthy of	に足る/に足りる	N1
122	not one bit; not even a little	少しも～ない	N2
123	it seems that, it appears that, it looks like	ようだ	N4
124	for the first time in (period of time)	ぶりに	N2
125	can’t help but feel; can’t help but do	ないではいられない	N2
126	even though	かいもなく	N1
127	hard to, difficult to	がたい	N3
128	let’s, won’t you, wouldn’t you	ませんか	N5
129	on the occasion of; at the time of	に際して	N2
130	in; on; at; during; in the condition of	にあって	N1
131	in comparison with; according to	に照らして	N1
132	for, for the sake of, in order to	ために	N3
133	at the same time as	と同時に	N2
134	it’s not worth; there’s no need to	にあたらない	N1
135	filled with	をこめて	N2
136	in, at, on, to	に	N5
137	or; or more precisely; or perhaps I should say	というか	N1
138	around; about	ごろ	N4
139	to do for	てあげる	N4
140	by means of, due to	によって / による	N3
141	there’s no end to	きりがない	N1
142	when; once (something happens)	ともなると/ともなれば	N1
143	never; by no means; not in the least; in no way	決して～ない	N3
144	that is to say; so that means	ということは	N2
145	according to	によると / によれば	N3
146	to be made to do something (passive causative)	させられる	N4
147	now that; since	上は	N2
148	indeed; really	いかにも	N1
149	when it comes to; as for	に至っては	N1
150	throughout; over a period of	にわたって	N2
151	plan to do something, plan on doing something	つもりだ	N5
152	in such a way that	というふうに	N2
153	what is… again?	っけ	N3
154	because; now that	以上	N2
155	to be not worth	に足りない	N1
156	from the standpoint of; as a matter of	上	N2
157	the most, the best	いちばん	N5
158	even if… is the case	たとえ～ても	N3
159	even	(で)すら	N1
160	one can think that…; it is conceivable that…	と考えられる	N2
161	under	のもとで	N2
162	without doing something	ことなしに	N1
163	if; if it is the case that	とあれば	N1
164	even without doing	ずとも	N1
165	the utmost	の極み	N1
166	I hear that…	んだって	N3
167	to go on, to continue, to start	ていく	N4
168	such things as; and… and so on	やら～やら	N2
169	in order to (e.g. meet goal); so that; hoping or wishing for something	ように	N3
170	in the middle of	最中に	N3
171	if you ask…; if one may say…	に言わせれば	N1
172	already; no longer; not any more	もはや	N1
173	furthermore; again; more and more	さらに	N2
174	otherwise; else; if not so	さもないと	N1
175	there are times when; (something) happens on occasions	ことがある	N3
176	to be expected to; to be scheduled to	ことになっている	N2
177	in response to	に応えて	N2
178	as	を～として	N2
179	to think; to suppose	ものと思われる	N1
180	even if one does something	たところで	N2
181	to have no choice but	よりほかない	N2
182	to want something; to be in need of	ほしい	N4
183	despite; in spite of; nevertheless; although	にもかかわらず	N2
184	during/for/since/over a period of time	というもの	N1
185	after; since	てからというもの	N1
186	whether or not	(よ)うが～まいが/(よ)うと～まいと	N1
187	assuming the air of…; behaving like…	ぶる	N1
188	still; not yet	まだ	N5
189	even; even if; even though	とて	N1
190	if only ~ then	さえ～ば	N3
191	I’m glad that…	てよかった	N4
192	to be; to come; to go (the polite form of いる, 来る, 行く)	いらっしゃる	N4
193	must not; cannot; should not	てはならない	N2
194	will definitely/certainly do something; cannot not	ないではおかない/ずにはおかない	N1
195	in terms of; from the point of view of	から言うと	N3
196	it seems like; it appears that; seemingly	どうやら	N2
197	to do something completely to the end	切る	N3
198	from, since	から	N5
199	regardless of	にかかわらず	N2
200	can’t afford to; unable to	てはいられない	N2
201	perhaps; maybe; perchance; by any chance	もしかしたら	N3
202	without doing something even once	ことなく	N2
203	totally; utterly; (not) at all; roughly; about	およそ	N1
204	can’t keep doing something	てばかりはいられない	N2
205	it doesn’t matter if…	てもかまわない	N3
206	if; in the case; in the event of	場合は	N4
207	but then; although; though	もっとも	N2
208	can you please; could I get	ていただけませんか	N4
209	at least; at most	せめて	N2
210	also; let alone	はもとより	N2
211	through; via; throughout	を通じて/ を通して	N2
212	to do something without thinking about it	ともなく	N1
213	as long as; while… is the case; as much as possible	限り	N2
214	judging from; based on; since; from; even	からして	N2
215	regardless of	いかんによらず	N1
216	even a little; at least	なりとも	N1
217	called, named; as much as; all, every	という	N3
218	covered in	まみれ	N1
219	even though, and yet, in spite of	くせに	N3
220	as; therefore; in accordance with; according to; consequently	に従って	N2
221	which one…	と～と、どちらが	N4
222	not necessarily so; is not always true	とは限らない	N3
223	if one keeps doing something	ていては	N2
224	in order to; for the purpose of; must; should	べく	N1
225	surely; certainly; without a doubt	てっきり	N1
226	is considered…	とされる	N1
227	despite; without regards to	をよそに	N1
228	almost; nearly, close to	もう少しで	N2
229	on one hand, on the other hand	一方で	N3
230	the moment; the instance	た拍子に	N1
231	but; although	ものの	N2
232	while; during; as	ながら	N4
233	repeated at intervals; every	おきに	N4
234	to do as	ままに	N1
235	among other things; such as	とか～とか	N4
236	there is no guarantee that…; not necessarily	というものでもない	N2
237	(not) at all	ぜんぜん	N4
238	how…!; what…!	ことか	N3
239	right after; as soon as	か～ないのうちに	N2
240	such as, things like	なんか / なんて	N3
241	even; even though; even if	といえども	N1
242	extremely	のなんのって	N1
243	to face; to go towards; to head to	に向かって	N2
244	not in the least	でも何でもない	N1
245	rather than…	くらいなら	N1
246	although I say; although one might say; although called	といっても	N3
247	(together) with	ぐるみ	N1
248	perhaps; likely; probably; I dare say	おそらく	N2
249	to suddenly begin; to suddenly appear; …out	だす	N4
250	passive voice	られる	N4
251	while; during	ながらに/ながらの	N1
252	after	上で	N3
253	something like…; something called…	というものだ	N2
254	right?; isn’t it?	じゃないか	N4
255	be able to do something	られる	N4
256	on the contrary	逆に	N2
257	sure enough; really	果たして	N2
258	suddenly; accidentally; unexpectedly; unintentionally	ふと	N1
259	even if I have to; by all means	てでも	N2
260	as soon as	なり	N1
261	(changes a sentence or phrase into a Noun)	ということ	N4
262	especially	とりわけ	N1
263	I’m sure/certain that; …must be the case;	に決まっている	N2
264	because, on account of =&gt; negative result	ばかりに	N3
265	more than	より ~ のほうが ~	N5
266	depending on; so	次第だ/ 次第で	N2
267	apt to; prone to	ともすれば	N1
268	any kind of	いかなる	N1
269	as soon as	そばから	N1
270	it must be, it should be	はずだ	N3
271	half-; not yet finished; in the middle of	かけ	N3
272	only, just	きり	N3
273	while, during	の間に	N3
274	on the way; en route; in the middle of; midway	途中に/途中で	N2
275	as a result	その結果	N3
276	when; at the time; on the occasion	折に	N1
277	concerning, regarding	について	N3
278	now that; since; so long as; because	からには	N2
279	luckily; fortunately	幸い	N2
280	never; did not (have the chance to)	ずじまい	N1
281	to be worth; to deserve	に値する	N1
282	not only; besides; as well	のみならず	N2
283	need; necessary	ひつよう	N4
284	totally; completely	まるっきり	N1
285	without	なくして	N1
286	come to think of it…; now that you mention it…	そういえば	N2
287	in accordance with	に則って	N1
288	because of	とあって	N1
289	not worth; no need to	ほどのことはない	N1
290	at the time; on the occasion of	にあたり	N2
291	…being the case; (precisely) because; as might be expected from	だけあって	N2
292	without doing…; don’t	ないで	N4
293	I would rather	ほうがましだ	N1
294	although; but	ことは～が	N2
295	not doing something properly	ろくに～ない	N2
296	instead of, on behalf of	にかわって	N3
297	when it comes to…; concerning…	ときたら	N1
298	just finished doing; was just doing	たところ	N4
299	hardly, rarely, seldom	めったに～ない	N3
300	not … by any means; no matter how hard one tries, cannot…	どうにも～ない	N1
301	indicates word or phrase being defined	とは	N1
302	suddenly; all of a sudden	いきなり	N2
303	if; since; if you are going to…; one after another; indicates repeated action	ては	N2
304	want to do something	たい	N5
305	if it were the case that…, then certainly; if one were to speak of… then certainly	というと	N3
306	regardless of	によらず	N1
307	is never the case; has never happened	ためしがない	N1
308	just because… doesn’t mean…	ことにはならない	N2
309	not only… but also	のみか	N1
310	natural; as a matter of course	て当然だ	N2
311	but still; and yet; even so	それでも	N4
312	to agree with; in keeping with; to be based on	に即して	N1
313	to be doing; to be in the process of doing	つつある	N2
314	being too many or too much to finish or complete	切れない	N3
315	instead of, in exchange for	代わりに	N3
316	cannot help (doing); have no choice but to	ざるを得ない	N2
317	even	てまで	N1
318	because	ときている	N1
319	can’t we…?; can’t I…?	ないものか	N1
320	not just; both	といわず	N1
321	so as not to	ことのないよう	N1
322	to continue to	つづける	N4
323	might	ないとも限らない	N1
324	difficult to…; hard to…	にくい	N4
325	based on; on the basis on	に基づいて	N2
326	in; at	にて	N2
327	whether or not	かどうか	N4
328	in, on, at (place); as for, regarding	において/ における	N3
329	as if; just like	かのようだ	N2
330	except; with the exception of; excluding	を除いて	N2
331	only because	ばこそ	N1
332	should, can, it’d be good if	ばいい	N3
333	no chance of; …is definitely not possible	っこない	N2
334	(must) do	こと	N3
335	do (something)	たまえ	N2
336	starting from…; to the full extent of	を限りに	N1
337	very; extremely	てしょうがない	N2
338	with the exception of; excepting	以外	N2
339	in the way…, the same as…	とおり	N3
340	I said; I told you to	ってば	N1
341	even if	としたって/としたところで	N1
342	it seems that	とみえる	N4
343	there is no way that…	わけがない	N3
344	on the other hand	反面	N2
345	to show signs of; to have the appearance of	めく	N1
346	not try to, not try to make an effort to	ようとしない	N3
347	although, rather, unexpectedly	わりに	N3
348	to reach the point that, to come to be that, to turn into	ようになる	N4
349	can; to be able to	ことができる	N4
350	have to do; must; should	ねばならない	N2
351	from the fact that…	ことから	N3
352	because of, as a result of	ために	N3
353	no more than; just; merely; only	に過ぎない	N2
354	with… as a start; as a result of; taking advantage of	をきっかけに	N2
355	together with	と共に	N3
356	let’s, shall we	ましょう	N5
357	…or something	でも	N4
358	compared to	に比べて	N3
359	must not do, should not do	べきではない	N3
360	at any rate; anyway; in any case	いずれにせよ	N1
361	nominalizer for adjectives	さ	N4
362	there is no need to; never happens	ことはない	N3
363	since	て以来	N2
364	because; since	こととて	N1
365	nevertheless; at any rate; even so; be that as it may	それにしても	N2
366	it’s not that; it doesn’t mean that	というわけではない	N1
367	because; for that reason	もので	N1
368	to be the first	に先駆けて	N1
369	in order to	んがため	N1
370	regardless of whether	にしても～にしても	N2
371	even if; even though	ても	N4
372	shouldn’t do something; it’s impossible to do something	ものではない	N2
373	until; as far as	に至るまで	N1
374	to do something by accident, to finish completely	てしまう	N4
375	can’t help but feel, can’t help but do	ずにはいられない	N3
376	unable to do something; can’t do something	かねる	N2
377	even if something isn’t done	ないまでも	N1
378	as… then…	につれて	N3
379	in order to	のに	N4
380	and; or	といい～といい	N1
381	at the most; at best; to the utmost	せいぜい	N2
382	very; extremely; can’t help but do	てたまらない	N2
383	for; considering it’s (something or someone)	にしては	N3
384	focused on; centered on	を中心に	N2
385	it’s no use…	ても始まらない	N1
386	only, nothing but	ばかり	N3
387	just when; no sooner than	かと思ったら / かと思うと	N2
388	in one’s own way or style	なりに/なりの	N1
389	it’s no use…	てもどうにもならない	N1
390	whether or not	(よ)うか～まいか	N1
391	(not) at all; (not) in the least	ちっとも～ない	N2
392	I don’t know about A, but B; A is acceptable, but B	ならいざしらず	N1
393	even if; even though; no matter how	たって	N2
394	nonetheless; though; although; be that as it may	とはいえ	N1
395	extremely unlikely to; showing no signs of	そうにない	N2
396	no wonder; …is only natural	のももっともだ	N2
397	being the case; precisely because	だけに	N2
398	if that’s the case; if so	それなら	N2
399	to finish…; to end	おわる	N4
400	no other; nothing else	ほかに～ない	N1
401	should	てしかるべきだ	N1
402	-ish, -like	っぽい	N3
403	to do (the polite form of する)	いたす	N4
404	to go in order to do something	にいく	N5
405	even if	にしても	N3
406	(turns a sentence into a yes/no question)	かい	N4
407	on the contrary; rather; all the more; surprisingly	かえって	N2
408	it looks to me; people say that; it is said that; I hear that	そうだ	N4
409	whether… or…	にしろ～にしろ	N2
410	feel like	気	N2
411	to end up; in the end; finally; after all	たあげく	N2
412	despite; regardless of	も顧みず/を顧みず	N1
413	to notice; to realize	に気がつく	N4
414	it’s not hard to	にかたくない	N1
415	in other words; namely	すなわち	N2
416	about to; on the verge of	ところ	N4
417	or; otherwise	もしくは	N1
418	to have a limit; to go too far	にもほどがある	N1
419	just finished; something just ended/occured	たばかり	N4
420	all; every	という	N1
421	if it were the case that…, if we assume…	としたら / とすれば	N3
422	can/can’t do something	にたえる/にたえない	N1
423	since, because	から	N5
424	smell; hear; taste	がする	N4
425	not only… but also…	もさることながら	N1
426	unusually, especially, particularly	ことに	N3
427	it’s better than…; one should feel grateful for	だけましだ	N2
428	if… then (ば conditional)	ば	N4
429	do… (command)	なさい	N4
430	because; indicates reason or excuse; indicates dissatisfaction	もの	N3
431	and; and the like; and so forth	だの～だの	N1
432	this is not the time/occasion for; …is out of the question	どころではない	N2
433	(probably) isn’t/doesn’t/won’t; intend not to; must not	まい	N2
434	surely; certainly	確かに	N2
435	far from, anything but, let alone, much less	どころか	N3
436	apt to do, tend to do	がち	N3
437	for example, starting with	をはじめ	N3
438	I think…; you think…	とおもう	N4
439	every; extremely	てならない	N2
440	just as one thought; sure enough	案の定	N1
441	still; even now; until this very day	いまだに	N1
442	it’s not that…; can; may be	なくはない	N2
443	as if; as though	とばかりに	N1
444	too much	すぎる	N5
445	to decide to	ことにする	N3
446	means; is; because; that is to say	というのは	N3
447	can’t stand; unable to	てかなわない	N1
448	should (used when giving suggesions or advice)	ことだ	N3
449	before; in front of; one’s standpoint	手前	N2
450	other than; without	をおいて	N1
451	because; from the fact that	ところから	N1
452	altogether; entirely	ことごとく	N1
453	had better, should, it’d be better to	ほうがいい	N5
454	at the time; in case of	際に	N2
455	just by; just by doing	だけで	N4
456	nothing better than; there’s nothing like	に限る	N2
457	no wonder; it’s not surprising that	だけのことはある	N2
458	such… as	といった	N2
459	like; similar to	のように / のような	N4
460	is not as… as	ほど～ない	N3
461	rather; instead; better	むしろ	N2
462	to feel	思いをする	N1
463	whether A or B	であれ～であれ	N1
464	-like, -looking	ぎみ	N3
465	to pretend, to act as if	ふりをする	N3
466	I wish; if only; although; even though	ものを	N1
467	concerning; in regard to	をめぐって	N2
468	without even doing	もしないで	N1
469	to be (the polite form of です)	でございます	N4
470	not very; not much	あまり～ない	N4
471	before long; soon; almost; eventually	やがて	N2
472	and	や	N5
473	it would be nice if, I hope, should	たらいい/といい	N3
474	to try to, to make sure that	ようにする	N3
475	uniquely applying to; special to	ならでは	N1
476	intended for; aimed at; oriented towards	向け	N3
477	no need to	なにも～ない	N2
478	without	なしに	N1
479	to make matters worse; besides; in addition	おまけに	N2
480	must not, can’t afford to	わけにはいかない	N3
481	to depend on	にかかっている	N1
482	already; anymore	もう	N4
483	cannot be; it’s impossible that	はずがない	N4
484	it is said that…	といわれている	N4
485	therefore; consequently	ゆえに	N1
486	please do (honorific)	お～ください	N4
487	seems like; I heard that; it appears that	らしい	N4
488	rather than	というより	N3
489	just because	からといって	N2
490	regardless of	を問わず	N2
491	I thought…; or so we thought	と思いきや	N1
492	at once; immediately	直ちに	N2
493	not; un-	ざる	N1
494	it is exactly because…	ことだから	N2
495	to the end; persistently; absolutely; to the utmost degree	あくまでも	N1
496	only; even; in (time span); at (time, place)	にして	N1
497	too much	あまり	N3
498	seeming to be; behaving as	びる	N1
499	as it is	まま	N3
500	based on	を踏まえて	N1
501	this way/that way; in what way/how	ふうに	N2
502	or; possibly	あるいは	N2
503	to, for, concerning, as far as … is concerned	にとって	N3
504	not limited to; not only… but also	にとどまらず	N1
505	to be, to exist	がある	N5
506	in contrast to; while; in regard to	に対して	N3
507	judging from; seeing that	ところを見ると	N2
508	it’s not like; it isn’t as if	ではあるまいし	N1
509	at the sight of; upon seeing	とみるや	N1
510	to show signs of; to feel; to think; to behave as if	がる	N4
511	to do (the polite form of する)	なさる	N4
512	is possible	える / うる	N2
513	seeming; giving the appearance of	げ	N2
514	without caring; without worrying about	もかまわず	N2
515	I believe/I’m certain something must be truly/really/very	さぞ	N1
516	to be bad at something, to be not good at something	のがへた	N5
517	and, with	と	N5
518	assuming; even if	としても	N2
519	again; once more	ふたたび	N2
520	sentence-ending expression of strong judgement	ものがある	N2
521	furthermore; in addition	なお	N2
522	very; extremely; nothing more … than this	といったらない	N1
523	to be, to exist (the polite form of いる/ある)	ございます	N4
524	not really, not particularly	べつに～ない	N3
525	is not entirely impossible	ないものでもない	N1
526	so much; so; like that	そんなに	N4
527	if one chooses to; if one happens to	(よ)うものなら	N1
528	be doing something	ている	N5
529	depending on; in accordance with	に応じて	N2
530	because; the reason is	ものだから	N2
531	whether or not	か否か	N1
532	because; but	だって	N2
533	judging from; considering; by the look of	からすると / からすれば	N2
534	to be related to	にまつわる	N1
535	to do something for somebody’s sake	てくれる	N4
536	even so, however, even though	ところが	N3
537	which owes everything to; which can exist solely due to the presence of	あっての	N1
538	to have a tendency to	嫌いがある	N1
539	cannot possibly; there is no way	とても～ない	N1
540	must do, have to do	なくてはいけない/なくてはならない	N4
541	once; before; never before	かつて	N1
542	even	さえ	N3
543	if one can do something	ものなら	N2
544	while; although	つつ	N2
545	extremely	極まる/極まりない	N1
546	have done something before	たことがある	N5
547	get by without doing…	ずに済む	N2
548	in addition to	に加えて	N2
549	(particularly) when…; only	に限って	N2
550	to be good at	のがじょうず	N5
551	easy to; likely to…; have a tendency to…	やすい	N4
552	anyway; anyhow; in any case; after all	どうせ	N2
553	to start…; to begin to…	はじめる	N4
554	not even one	として～ない	N1
555	I wonder	かしら	N4
556	to the extent that, so… that	くらい	N3
557	as soon as, dependent upon	次第	N3
558	make somebody do something (causative)	させる	N4
559	not… at all	まったく～ない	N2
560	at the time	ところに/ところへ	N2
561	should not; must not	まじき	N1
562	there’s no need to; does not match	には及ばない	N1
563	as if; as though; just like	まるで	N3
564	not (emphatic negative)	やしない	N1
565	in the process of doing	ているところ	N4
566	It’d be better to not do something	ほうがいい	N5
567	to have; there is	ところがある	N1
568	try to, be about to	ようとする	N3
569	therefore; consequently; accordingly	したがって	N2
570	even if; no matter how/what	(よ)うが/(よ)うと	N1
571	it has been decided that…, it has been arranged so that…	ことになる	N3
572	for example	たとえば	N2
573	setting aside	はさておき	N1
574	over (a period), through, concerning	にかけて	N3
575	if	ようでは	N2
576	covered all over in, full of	だらけ	N3
577	without doing	ずに	N3
578	in; among	のなかで	N4
579	can’t help but; can’t refrain from	を禁じえない	N1
580	I feel so…	限りだ	N1
581	while; at the same time; for the purpose of	かたがた	N1
582	I think, probably	でしょう	N5
583	…and…	も～ば～も	N2
584	just (now, at the moment), as soon as	たとたん	N3
585	or	かれ～かれ	N1
586	without a doubt; certain; sure	に相違ない	N2
587	at once; right away; promptly; on the spur of the moment	とっさに	N1
588	as if	ものか	N2
589	as soon as	が早いか	N1
590	should have, it would have been better if…	ばよかった	N3
591	I’m sure, no doubt that, without a doubt	に違いない	N3
592	there are fears that; to be in danger of; to be liable to	恐れがある	N2
593	to look like	じみた	N1
594	not just; not only… but also	に限らず	N2
595	related to, in relation to	に関する / に関して	N3
596	through; after; via	を経て	N1
597	while (you) are at it; on the occasion; taking the opportunity	ついでに	N3
598	let’s do (something); why don’t we	ではないか	N2
599	because; the reason is; if you want to know why	なぜなら	N3
600	for sure (emphasize preceding word)	こそ	N3
601	not only… but also	だけでなく	N2
602	if… then it’s over	ばそれまでだ	N1
603	very unlikely to	そうもない	N3
604	by the way	ところで	N3
605	as (i.e. in the role of)	として	N3
606	I’ll definitely	てみせる	N1
607	to assume; to suppose	ものとして	N1
608	at last; finally	いよいよ	N2
609	no matter how	いくら～ても	N3
610	(not) even; (not) any	たりとも	N1
611	while, before, during	うちに	N3
612	this means; this is why; it is the case that	というわけだ	N1
613	must not; should not; do not	べからず	N1
614	utmost; extremely	の至り	N1
615	whoever/whatever/however; even	であれ/であろうと	N1
616	I heard that	とか	N2
617	entirely; completely	ずくめ	N1
618	on the same occasion; at the same time; coincidentally	がてら	N1
619	can; …is not impossible	ないことはない	N3
620	as a conclusion of	た末 / の末	N2
621	to take advantage of	をいいことに	N1
622	so-called, so to speak	いわゆる	N2
623	depending on	ようによっては	N1
624	to come to, to become, to continue, to do… and come back	てくる	N4
625	leaving out; cutting out; dispensing with	抜きで/抜きにして	N2
626	to be forced to do something because one has no other choice	を余儀なくされる	N1
627	having done that; if that is done; if it is done in that way	そうすると	N2
628	used to do something; should do something; of course	ものだ	N3
629	with the intention of doing	つもりで	N2
630	the more… the more	ば～ほど	N3
631	from the point of view of; by the look of; judging from	から見ると	N2
632	at any rate; anyway; in any case; because; as you know	何しろ	N1
633	more than…; above…	にもまして	N1
634	starting with	を皮切りに	N1
635	have a feeling that…, think that…	ような気がする	N3
636	to be regarded as; to be expected to; to be believed to	とみられる	N1
637	beforehand; in advance; previously	あらかじめ	N1
638	as an opportunity to	を機に	N1
639	at the time	をもって	N1
640	in, at, on	で	N5
641	it’s only natural; no wonder; might as well	のも当然だ	N2
642	besides; in addition; furthermore	その上	N2
643	I wonder if it’s not…	ではあるまいか	N1
644	due to; because of; per; each	につき	N2
645	as if; as though	んばかりに	N1
646	also for the purpose of	を兼ねて	N1
647	in itself; as it is; in its own way; as suits the occasion	それなりに	N1
648	moreover; furthermore; and yet; what’s more	しかも	N2
649	in other words; that is to say	つまり	N3
650	to end up with (something unpleasant)	羽目になる	N1
651	to relate to; to have to do with	にかかわる	N2
652	whether or not; nevermind; regardless of; not to mention	はともかく	N2
